addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,building
,2,28807,,Calle Infantado,
,6,28801,,Calle de los Escritorios,
,35,28801,,Calle de Santiago,
,4,28801,,Calle San Felipe,
,4,28807,,Calle Huertas,
,6,28804,,Calle Batalla de Lepanto,
,1,28805,,Calle Lope de Vega,
,7,28802,,Calle de Jiménez de Quesada,
,,28806,,Calle Alalpardo,
,,28801,,Calle del Arcipreste de Hita,
,6,28802,,Calle de Juan de Vergara,
,2,28805,,Calle del Divino Vallés,
,12,28804,,Calle de Giner de los Ríos,
,85,28803,,Calle Fuente del Sol,
,24,28802,,Avenida de los Reyes Católicos,
,23,28805,,Calle Encomienda,
,2,28806,,Avenida de los Reyes Magos,
,29,28801,,Calle del Empecinado,
,2,28806,,Avenida de los Reyes Magos,
,1,28806,,Calle Valverde de Alcalá,
,,28806,,Avenida de Daganzo,
,26,28801,,Paseo de los Curas,
,,28806,,Calle 8 de Marzo,
,7,28806,,Calle Dámaso Alonso,
,3,28806,,Calle Arturo Soria,
,4,28805,,Calle de José Ortega y Gasset,
,7,28806,,Avenida de la Alcarria,
,,28805,,Calle de Gonzalo Torrente Ballester,
,32,28806,,Calle José María Pereda,
,7,28806,,Avenida de Juan Carlos I,
,8,28806,,Calle Carabaña,
,29,28806,,Calle Octavio Paz,
,,28803,,Calle del Obispo Acuña,
,3,,,Avenida de Juan Carlos I,
,1,,,Calle Córdoba,
,1,28803,,Calle Río Bidasoa,
,6,28806,,Calle Campo Real,
,2,28801,,Calle de los Escritorios,
,,28804,,Avenida de Castilla,
,28,28805,,Calle Camino de la Esgaravita,
,20,,,Avenida Puerta de Madrid,
,,,,"CR M-300, 30.3",
Alcalá de Henares,,28801,,Callejón de las Santas Formas,
Alcalá de Henares,,,,Avda. Juan Carlos I,
Alcalá de Henares,18,28801,,Paseo de los Curas,
Alcalá de Henares,,,,Avda. Juan Carlos I,
Alcalá de Henares,19,28801,,Calle de Libreros,
,,,,Calle de Federico García Lorca,
,,,,Calle de Federico García Lorca,
,34,28801,,Calle Mayor,
,29,,,Avenida de Guadalajara,
,41,,,Vía Complutense,
,,28803,,Carretera M-300 Km 26.4,
,,28801,,Calle de la Rosa,
,1,28801,,Calle de la Era Honda,
,,28806,,Calle de Federico García Lorca,
,13,28806,,Avenida de Juan Carlos I,
,9,,,ladera del chorrillo,
,15,28806,,Calle Octavio Paz,
,2,,,Calle de Juan Oró,
Alcalá de Henares,1,,,Calle de Humanes,
Alcalá de Henares,11,,,Calle de Humanes,
Alcalá de Henares,1,28806,,Rotonda de Pitágoras,
,101,28801,,Calle Mayor,
,66,28801,,Calle Mayor,
Alcalá de Henares (Madrid),2,28801,,Calle Diego de Torres,
,47,28801,,Calle Mayor,
Alcalá de Henares (Madrid),15,28801,,Calle de Santiago,
,1,28801,,Calle de Carmen Calzado,
,45,28801,,Calle Mayor,
Alcalá de Henares,12,28806,,Calle Isaac Peral,
Alcalá de Henares,,28806,,Calle Francisco Umbral,
,15,28801,,Calle de los Escritorios,
,3,28801,,Calle de los Escritorios,
,,,,Calle de las Damas,
,8,28801,,Calle de Libreros,
,10,28801,,Calle de Libreros,
,4,28803,,Calle del Clavel,
,1,,,Avenida de Madrid,
,20,28802,,Calle de la Era Honda,
,,,,Calle Gardenia,
,,,,Calle San Vidal,
,14,,,Calle Francisco Umbral,
,8,,,Calle Francisco Umbral,
,,28806,,Calle de Federico García Lorca,
Alcalá de Henares,,28804,,Calle Zaragoza,
Alcalá de Henares,20,28804,,Paseo de la Alameda,
,,28804,,Paseo de Val,
,,28804,,Paseo de la Alameda,
,4,,,Calle de Escobedos,
